# I,U,K,W
1.000000000000000056e-01,1.000000000000000000e+00,1.500000000000000038e-06,6.388765649999399165e-02
1.000000000000000056e-01,2.500000000000000000e+00,9.375000000000000873e-06,1.597191412499849861e-01
1.000000000000000056e-01,5.000000000000000000e+00,3.750000000000000349e-05,3.194382824999699722e-01
1.000000000000000056e-01,7.500000000000000000e+00,8.437500000000000447e-05,4.791574237499549027e-01
1.000000000000000056e-01,1.000000000000000000e+01,1.500000000000000140e-04,6.388765649999399443e-01
2.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000559e-04,1.277753129999879889e+00
2.000000000000000000e+00,2.500000000000000000e+00,3.750000000000000729e-03,3.194382824999699722e+00
2.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000291e-02,6.388765649999399443e+00
2.000000000000000000e+00,7.500000000000000000e+00,3.375000000000000222e-02,9.583148474999097388e+00
2.000000000000000000e+00,1.000000000000000000e+01,6.000000000000001166e-02,1.277753129999879889e+01
5.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000729e-03,3.194382824999699722e+00
5.000000000000000000e+00,2.500000000000000000e+00,2.343750000000000000e-02,7.985957062499248416e+00
5.000000000000000000e+00,5.000000000000000000e+00,9.375000000000000000e-02,1.597191412499849683e+01
5.000000000000000000e+00,7.500000000000000000e+00,2.109375000000000000e-01,2.395787118749774436e+01
5.000000000000000000e+00,1.000000000000000000e+01,3.750000000000000000e-01,3.194382824999699366e+01
1.000000000000000000e+01,1.000000000000000000e+00,1.500000000000000291e-02,6.388765649999399443e+00
1.000000000000000000e+01,2.500000000000000000e+00,9.375000000000000000e-02,1.597191412499849683e+01
1.000000000000000000e+01,5.000000000000000000e+00,3.750000000000000000e-01,3.194382824999699366e+01
1.000000000000000000e+01,7.500000000000000000e+00,8.437500000000000000e-01,4.791574237499548872e+01
1.000000000000000000e+01,1.000000000000000000e+01,1.500000000000000000e+00,6.388765649999398732e+01
2.000000000000000000e+01,1.000000000000000000e+00,6.000000000000001166e-02,1.277753129999879889e+01
2.000000000000000000e+01,2.500000000000000000e+00,3.750000000000000000e-01,3.194382824999699366e+01
2.000000000000000000e+01,5.000000000000000000e+00,1.500000000000000000e+00,6.388765649999398732e+01
2.000000000000000000e+01,7.500000000000000000e+00,3.375000000000000000e+00,9.583148474999097743e+01
2.000000000000000000e+01,1.000000000000000000e+01,6.000000000000000000e+00,1.277753129999879746e+02
